Gene1	Gene1Samples	Gene2	Gene2Samples	Common	P_value	Adjusted_p
CLIC5	8	OR4C45	8	2	2.72E-02	5.27E-01
CLIC5	8	OR4K17	12	2	5.97E-02	5.27E-01
CLIC5	8	OR4N4	8	1	2.52E-01	5.33E-01
CLIC5	8	OR51B5	9	1	2.79E-01	5.43E-01
CLIC5	8	OR52E4	8	1	2.52E-01	5.33E-01
CLIC5	8	OR5M11	7	1	2.24E-01	5.33E-01
CLIC5	8	OR5M9	11	2	5.06E-02	5.27E-01
CLIC5	8	OR8B4	12	1	3.56E-01	5.71E-01
CLIC5	8	OR8H2	8	1	2.52E-01	5.33E-01
CLIC5	8	P2RX6	5	1	1.65E-01	5.27E-01
CLIC5	8	PEG3	21	3	2.81E-02	5.27E-01
CLIC5	8	POU3F3	8	1	2.52E-01	5.33E-01
CLIC5	8	RAET1E	2	1	6.91E-02	5.27E-01
CLIC5	8	RB1	135	6	4.77E-01	6.37E-01
CLIC5	8	REG1B	13	1	3.80E-01	5.82E-01
CLIC5	8	SAMD1	15	1	4.25E-01	6.01E-01
CLIC5	8	SGCZ	13	1	3.80E-01	5.82E-01
CLIC5	8	SIGLEC12	8	1	2.52E-01	5.33E-01
CLIC5	8	SLC4A10	18	1	4.88E-01	6.38E-01
CLIC5	8	SPHKAP	39	1	1.00E+00	1.00E+00
CLIC5	8	SST	2	1	6.91E-02	5.27E-01
CLIC5	8	ST6GALNAC3	10	2	4.22E-02	5.27E-01
CLIC5	8	STX11	4	1	1.34E-01	5.27E-01
CLIC5	8	TCF21	4	1	1.34E-01	5.27E-01
CLIC5	8	TCP10L2	7	1	2.24E-01	5.33E-01
CLIC5	8	TGM3	10	1	3.06E-01	5.52E-01
CLIC5	8	THAP1	4	1	1.34E-01	5.27E-01
CLIC5	8	TKTL2	21	2	1.61E-01	5.27E-01
CLIC5	8	TMEM132D	50	2	6.88E-01	7.99E-01
CLIC5	8	TMPRSS15	16	1	4.47E-01	6.14E-01
CLIC5	8	TP53	197	8	6.02E-01	7.21E-01
CLIC5	8	UBE2NL	8	1	2.52E-01	5.33E-01
CLIC5	8	ZCCHC16	8	1	2.52E-01	5.33E-01
CLIC5	8	ZFP36L2	7	1	2.24E-01	5.33E-01
CLIC5	8	ZNF521	21	2	1.61E-01	5.27E-01
CLIC5	8	ZNF676	15	1	4.25E-01	6.01E-01
CMKLR1	7	CNTNAP5	34	1	1.00E+00	1.00E+00
CMKLR1	7	CRHBP	6	1	1.72E-01	5.33E-01
CMKLR1	7	DCAF8L2	13	1	3.41E-01	5.63E-01
CMKLR1	7	DEFB112	6	1	1.72E-01	5.33E-01
CMKLR1	7	ELOVL5	3	1	8.97E-02	5.27E-01
CMKLR1	7	FAM69C	7	1	1.98E-01	5.33E-01
CMKLR1	7	FCRL5	17	1	4.23E-01	6.01E-01
CMKLR1	7	FGF23	7	1	1.98E-01	5.33E-01
CMKLR1	7	GAB4	12	1	3.19E-01	5.58E-01
CMKLR1	7	GABRB1	12	1	3.19E-01	5.58E-01
CMKLR1	7	IGFBP2	10	1	2.73E-01	5.43E-01
CMKLR1	7	KCNQ2	11	1	2.96E-01	5.52E-01
CMKLR1	7	KIAA1211	28	1	1.00E+00	1.00E+00
CMKLR1	7	KLHL34	9	1	2.49E-01	5.33E-01
CMKLR1	7	LPPR4	16	1	4.03E-01	5.91E-01
CMKLR1	7	LRFN5	25	2	1.72E-01	5.33E-01
CMKLR1	7	LRP1B	87	3	1.00E+00	1.00E+00
CMKLR1	7	MID1IP1	3	1	8.97E-02	5.27E-01
CMKLR1	7	MORC1	24	1	5.46E-01	6.77E-01
CMKLR1	7	MRGPRX4	8	1	2.24E-01	5.33E-01
CMKLR1	7	MYBPC1	13	1	3.41E-01	5.63E-01
CMKLR1	7	NAV3	56	1	1.00E+00	1.00E+00
CMKLR1	7	NOS1	19	2	1.07E-01	5.27E-01
CMKLR1	7	NR1I3	4	1	1.18E-01	5.27E-01
CMKLR1	7	OR10J1	12	1	3.19E-01	5.58E-01
CMKLR1	7	OR11G2	7	1	1.98E-01	5.33E-01
CMKLR1	7	OR2A14	6	1	1.72E-01	5.33E-01
CMKLR1	7	OR2C3	13	1	3.41E-01	5.63E-01
CMKLR1	7	OR2G6	14	1	3.62E-01	5.76E-01
CMKLR1	7	OR52K1	10	1	2.73E-01	5.43E-01
CMKLR1	7	OR5M1	4	1	1.18E-01	5.27E-01
CMKLR1	7	OR5M11	7	1	1.98E-01	5.33E-01
CMKLR1	7	OR5M9	11	1	2.96E-01	5.52E-01
CMKLR1	7	OR6B1	7	1	1.98E-01	5.33E-01
CMKLR1	7	OR8B4	12	2	4.61E-02	5.27E-01
CMKLR1	7	OR8H2	8	1	2.24E-01	5.33E-01
CMKLR1	7	OR9Q2	8	1	2.24E-01	5.33E-01
CMKLR1	7	PEG3	21	2	1.28E-01	5.27E-01
CMKLR1	7	PRR23C	6	1	1.72E-01	5.33E-01
CMKLR1	7	RB1	135	3	4.47E-01	6.15E-01
CMKLR1	7	RNGTT	5	2	7.76E-03	4.96E-01
CMKLR1	7	SELL	9	2	2.63E-02	5.27E-01
CMKLR1	7	SELP	15	1	3.83E-01	5.84E-01
CMKLR1	7	SGCZ	13	1	3.41E-01	5.63E-01
CMKLR1	7	SLC8A3	20	1	4.79E-01	6.37E-01
CMKLR1	7	SPHKAP	39	1	1.00E+00	1.00E+00
CMKLR1	7	STX11	4	1	1.18E-01	5.27E-01
CMKLR1	7	TMEM132D	50	1	1.00E+00	1.00E+00
CMKLR1	7	TMPRSS15	16	1	4.03E-01	5.91E-01
CMKLR1	7	TP53	197	6	1.00E+00	1.00E+00
CMKLR1	7	TTR	5	1	1.46E-01	5.27E-01
CMKLR1	7	TUBA3C	16	1	4.03E-01	5.91E-01
CMKLR1	7	ZNF521	21	2	1.28E-01	5.27E-01
CMKLR1	7	ZNF676	15	1	3.83E-01	5.84E-01
CNTNAP5	34	CPXCR1	12	1	1.00E+00	1.00E+00
CNTNAP5	34	CYP4F22	8	1	1.00E+00	1.00E+00
CNTNAP5	34	DCAF8L2	13	2	1.00E+00	1.00E+00
CNTNAP5	34	DEFB110	3	1	3.85E-01	5.84E-01
CNTNAP5	34	DIO2	8	1	1.00E+00	1.00E+00
CNTNAP5	34	DUSP22	5	1	5.57E-01	6.87E-01
CNTNAP5	34	ECHDC2	5	2	1.62E-01	5.27E-01
CNTNAP5	34	FAM47C	19	4	4.97E-01	6.46E-01
CNTNAP5	34	FAM69C	7	1	1.00E+00	1.00E+00
CNTNAP5	34	FAM83C	11	1	1.00E+00	1.00E+00
CNTNAP5	34	FCRL4	11	4	6.34E-02	5.27E-01
CNTNAP5	34	FCRL5	17	4	2.93E-01	5.52E-01
CNTNAP5	34	FGF23	7	2	2.80E-01	5.43E-01
CNTNAP5	34	GAB4	12	1	1.00E+00	1.00E+00
CNTNAP5	34	GABRB1	12	2	6.95E-01	8.03E-01
CNTNAP5	34	GABRG1	18	5	1.58E-01	5.27E-01
CNTNAP5	34	GCG	8	1	1.00E+00	1.00E+00
CNTNAP5	34	GLB1L2	8	3	1.00E-01	5.27E-01
CNTNAP5	34	GPR139	9	1	1.00E+00	1.00E+00
CNTNAP5	34	GPR35	6	1	1.00E+00	1.00E+00
CNTNAP5	34	HHEX	4	3	1.10E-02	5.24E-01
CNTNAP5	34	HIST1H2BL	5	1	5.57E-01	6.87E-01
CNTNAP5	34	HIST1H4F	3	1	3.85E-01	5.84E-01
CNTNAP5	34	IFNA6	6	3	4.43E-02	5.27E-01
CNTNAP5	34	IGFBP2	10	3	1.74E-01	5.33E-01
CNTNAP5	34	IL10	6	2	2.20E-01	5.33E-01
CNTNAP5	34	JPH2	10	3	1.74E-01	5.33E-01
CNTNAP5	34	KCNJ12	10	4	4.51E-02	5.27E-01
CNTNAP5	34	KCNQ2	11	2	6.71E-01	7.84E-01
CNTNAP5	34	KIAA1211	28	5	5.80E-01	7.05E-01
CNTNAP5	34	KLHL34	9	1	1.00E+00	1.00E+00
CNTNAP5	34	KLRG1	7	3	6.97E-02	5.27E-01
CNTNAP5	34	KRTAP10-11	7	3	6.97E-02	5.27E-01
CNTNAP5	34	KRTAP12-4	3	1	3.85E-01	5.84E-01
CNTNAP5	34	LILRB2	14	5	4.04E-02	5.27E-01
CNTNAP5	34	LPPR4	16	2	1.00E+00	1.00E+00
CNTNAP5	34	LRFN5	25	4	7.73E-01	8.79E-01
CNTNAP5	34	LRP1B	87	14	7.05E-01	8.11E-01
CNTNAP5	34	LRRC7	36	5	1.00E+00	1.00E+00
CNTNAP5	34	MARCO	9	1	1.00E+00	1.00E+00
CNTNAP5	34	MBLAC1	3	1	3.85E-01	5.84E-01
CNTNAP5	34	MIA2	11	3	2.15E-01	5.33E-01
CNTNAP5	34	MID1IP1	3	1	3.85E-01	5.84E-01
CNTNAP5	34	MMP24	6	1	1.00E+00	1.00E+00
CNTNAP5	34	MNDA	11	1	1.00E+00	1.00E+00
CNTNAP5	34	MORC1	24	9	3.33E-03	4.87E-01
CNTNAP5	34	MS4A14	13	1	6.98E-01	8.05E-01
CNTNAP5	34	MYBPC1	13	2	1.00E+00	1.00E+00
CNTNAP5	34	NAV3	56	8	1.00E+00	1.00E+00
CNTNAP5	34	NLRP14	19	4	4.97E-01	6.46E-01
CNTNAP5	34	NOS1	19	6	4.47E-02	5.27E-01
CNTNAP5	34	NPY1R	10	1	1.00E+00	1.00E+00
CNTNAP5	34	NR1I3	4	1	4.78E-01	6.37E-01
CNTNAP5	34	OR10J1	12	2	6.95E-01	8.03E-01
CNTNAP5	34	OR10V1	5	2	1.62E-01	5.27E-01
CNTNAP5	34	OR11G2	7	2	2.80E-01	5.43E-01
CNTNAP5	34	OR2A14	6	2	2.20E-01	5.33E-01
CNTNAP5	34	OR2C3	13	1	6.98E-01	8.05E-01
CNTNAP5	34	OR2G6	14	3	4.45E-01	6.14E-01
CNTNAP5	34	OR2T2	8	1	1.00E+00	1.00E+00
CNTNAP5	34	OR4C45	8	2	3.40E-01	5.63E-01
CNTNAP5	34	OR4K17	12	3	3.95E-01	5.88E-01
CNTNAP5	34	OR4N4	8	1	1.00E+00	1.00E+00
CNTNAP5	34	OR51B5	9	2	6.26E-01	7.45E-01
CNTNAP5	34	OR52E4	8	5	2.25E-03	4.80E-01
CNTNAP5	34	OR52K1	10	1	1.00E+00	1.00E+00
CNTNAP5	34	OR5J2	10	1	1.00E+00	1.00E+00
CNTNAP5	34	OR5M1	4	1	4.78E-01	6.37E-01
CNTNAP5	34	OR5M11	7	1	1.00E+00	1.00E+00
CNTNAP5	34	OR6B1	7	1	1.00E+00	1.00E+00
CNTNAP5	34	OR8B4	12	2	6.95E-01	8.03E-01
CNTNAP5	34	OR8H2	8	1	1.00E+00	1.00E+00
CNTNAP5	34	P2RX6	5	1	5.57E-01	6.87E-01
CNTNAP5	34	PEG3	21	4	5.28E-01	6.67E-01
CNTNAP5	34	POU3F3	8	2	3.40E-01	5.63E-01
CNTNAP5	34	PRDM12	5	1	5.57E-01	6.87E-01
CNTNAP5	34	PRNP	1	1	1.49E-01	5.27E-01
CNTNAP5	34	PTEN	13	2	1.00E+00	1.00E+00
CNTNAP5	34	PTF1A	9	1	1.00E+00	1.00E+00
CNTNAP5	34	PTPRH	14	3	4.45E-01	6.14E-01
CNTNAP5	34	RB1	135	22	5.72E-01	6.97E-01
CNTNAP5	34	RD3	3	1	3.85E-01	5.84E-01
CNTNAP5	34	REG1B	13	2	1.00E+00	1.00E+00
CNTNAP5	34	RGS13	5	1	5.57E-01	6.87E-01
CNTNAP5	34	RHAG	12	1	1.00E+00	1.00E+00
CNTNAP5	34	SAMD1	15	3	4.74E-01	6.35E-01
CNTNAP5	34	SCGB1D1	3	1	3.85E-01	5.84E-01
CNTNAP5	34	SELL	9	3	1.35E-01	5.27E-01
CNTNAP5	34	SELP	15	2	1.00E+00	1.00E+00
CNTNAP5	34	SGCZ	13	2	1.00E+00	1.00E+00
CNTNAP5	34	SIGLEC12	8	2	3.40E-01	5.63E-01
CNTNAP5	34	SLC4A10	18	2	1.00E+00	1.00E+00
CNTNAP5	34	SLC8A3	20	3	1.00E+00	1.00E+00
CNTNAP5	34	SLC9A4	11	3	2.15E-01	5.33E-01
CNTNAP5	34	SNCB	5	1	5.57E-01	6.87E-01
CNTNAP5	34	SPHKAP	39	6	1.00E+00	1.00E+00
CNTNAP5	34	SST	2	1	2.77E-01	5.43E-01
CNTNAP5	34	ST6GALNAC3	10	2	6.47E-01	7.61E-01
CNTNAP5	34	STX11	4	1	4.78E-01	6.37E-01
CNTNAP5	34	TCF23	4	1	4.78E-01	6.37E-01
CNTNAP5	34	TCP10L2	7	1	1.00E+00	1.00E+00
CNTNAP5	34	THAP1	4	1	4.78E-01	6.37E-01
CNTNAP5	34	TKTL2	21	1	3.30E-01	5.63E-01
CNTNAP5	34	TMEM132D	50	4	1.76E-01	5.33E-01
CNTNAP5	34	TMEM215	4	1	4.78E-01	6.37E-01
CNTNAP5	34	TMPRSS15	16	2	1.00E+00	1.00E+00
CNTNAP5	34	TNNI2	3	1	3.85E-01	5.84E-01
CNTNAP5	34	TP53	197	30	1.00E+00	1.00E+00
CNTNAP5	34	TPD52	3	1	3.85E-01	5.84E-01
CNTNAP5	34	TRIM63	8	2	3.40E-01	5.63E-01
CNTNAP5	34	TTR	5	1	5.57E-01	6.87E-01
CNTNAP5	34	TUBA3C	16	2	1.00E+00	1.00E+00
CNTNAP5	34	WNT11	6	2	2.20E-01	5.33E-01
CNTNAP5	34	ZCCHC16	8	1	1.00E+00	1.00E+00
CNTNAP5	34	ZCCHC5	11	4	6.34E-02	5.27E-01
CNTNAP5	34	ZFP36L2	7	2	2.80E-01	5.43E-01
CNTNAP5	34	ZNF521	21	4	5.28E-01	6.67E-01
CNTNAP5	34	ZNF676	15	3	4.74E-01	6.35E-01
CPXCR1	12	CRHBP	6	1	2.80E-01	5.43E-01
CPXCR1	12	CYP4F22	8	1	3.56E-01	5.71E-01
CPXCR1	12	DEFB112	6	1	2.80E-01	5.43E-01
CPXCR1	12	ECHDC2	5	1	2.39E-01	5.33E-01
CPXCR1	12	ETNK2	4	1	1.96E-01	5.33E-01
CPXCR1	12	FAM47C	19	2	2.63E-01	5.41E-01
CPXCR1	12	FAM69C	7	1	3.19E-01	5.58E-01
CPXCR1	12	FAM83C	11	1	4.56E-01	6.18E-01
CPXCR1	12	FCRL4	11	2	1.07E-01	5.27E-01
CPXCR1	12	FCRL5	17	2	2.22E-01	5.33E-01
CPXCR1	12	GAB4	12	1	4.86E-01	6.38E-01
CPXCR1	12	GABRB1	12	1	4.86E-01	6.38E-01
CPXCR1	12	GABRG1	18	1	1.00E+00	1.00E+00
CPXCR1	12	GCG	8	2	5.97E-02	5.27E-01
CPXCR1	12	GLB1L2	8	1	3.56E-01	5.71E-01
CPXCR1	12	GPR139	9	1	3.91E-01	5.86E-01
CPXCR1	12	HHEX	4	1	1.96E-01	5.33E-01
CPXCR1	12	IFNA6	6	1	2.80E-01	5.43E-01
CPXCR1	12	IQSEC3	9	1	3.91E-01	5.86E-01
CPXCR1	12	KIAA1211	28	3	1.71E-01	5.33E-01
CPXCR1	12	KLHL34	9	1	3.91E-01	5.86E-01
CPXCR1	12	KRTAP10-11	7	1	3.19E-01	5.58E-01
CPXCR1	12	KRTAP13-1	5	1	2.39E-01	5.33E-01
CPXCR1	12	LCE5A	4	1	1.96E-01	5.33E-01
CPXCR1	12	LILRB2	14	3	2.93E-02	5.27E-01
CPXCR1	12	LRP1B	87	6	3.81E-01	5.84E-01
CPXCR1	12	LRRC7	36	3	4.10E-01	5.93E-01
CPXCR1	12	MEOX1	4	2	1.44E-02	5.27E-01
CPXCR1	12	MIA2	11	2	1.07E-01	5.27E-01
CPXCR1	12	MNDA	11	1	4.56E-01	6.18E-01
CPXCR1	12	MORC1	24	2	3.67E-01	5.78E-01
CPXCR1	12	MS4A14	13	1	5.15E-01	6.54E-01
CPXCR1	12	MYBPC1	13	2	1.43E-01	5.27E-01
CPXCR1	12	NAV3	56	5	1.74E-01	5.33E-01
CPXCR1	12	NCBP2	2	1	1.03E-01	5.27E-01
CPXCR1	12	NLRP14	19	4	1.12E-02	5.24E-01
CPXCR1	12	NPY1R	10	2	9.04E-02	5.27E-01
CPXCR1	12	NTNG2	8	2	5.97E-02	5.27E-01
CPXCR1	12	NUDT19	7	2	4.61E-02	5.27E-01
CPXCR1	12	OR10J1	12	1	4.86E-01	6.38E-01
CPXCR1	12	OR11G2	7	2	4.61E-02	5.27E-01
CPXCR1	12	OR2C3	13	2	1.43E-01	5.27E-01
CPXCR1	12	OR5J2	10	3	1.09E-02	5.24E-01
CPXCR1	12	PEG3	21	1	1.00E+00	1.00E+00
CPXCR1	12	PRDM12	5	2	2.33E-02	5.27E-01
CPXCR1	12	PRND	2	1	1.03E-01	5.27E-01
CPXCR1	12	PROL1	7	1	3.19E-01	5.58E-01
CPXCR1	12	PTF1A	9	2	7.45E-02	5.27E-01
CPXCR1	12	PTPRH	14	2	1.62E-01	5.27E-01
CPXCR1	12	RB1	135	8	7.66E-01	8.71E-01
CPXCR1	12	RPL37	2	1	1.03E-01	5.27E-01
CPXCR1	12	SELL	9	1	3.91E-01	5.86E-01
CPXCR1	12	SELP	15	2	1.82E-01	5.33E-01
CPXCR1	12	SLC4A10	18	1	1.00E+00	1.00E+00
CPXCR1	12	SLC8A3	20	2	2.84E-01	5.47E-01
CPXCR1	12	SLC9A4	11	2	1.07E-01	5.27E-01
CPXCR1	12	SPHKAP	39	4	1.29E-01	5.27E-01
CPXCR1	12	TCP10L2	7	2	4.61E-02	5.27E-01
CPXCR1	12	TGM3	10	1	4.24E-01	6.01E-01
CPXCR1	12	TMEM132D	50	5	1.42E-01	5.27E-01
CPXCR1	12	TP53	197	12	3.78E-01	5.82E-01
CPXCR1	12	TUBA3C	16	2	2.02E-01	5.33E-01
CPXCR1	12	UBE2NL	8	1	3.56E-01	5.71E-01
CPXCR1	12	UNC93A	8	1	3.56E-01	5.71E-01
CPXCR1	12	ZCCHC16	8	1	3.56E-01	5.71E-01
CPXCR1	12	ZNF521	21	1	1.00E+00	1.00E+00
CRHBP	6	DCAF8L2	13	2	3.96E-02	5.27E-01
CRHBP	6	ELOVL5	3	1	7.72E-02	5.27E-01
CRHBP	6	FCRL5	17	1	3.75E-01	5.82E-01
CRHBP	6	FGF23	7	1	1.72E-01	5.33E-01
CRHBP	6	GABRB1	12	2	3.39E-02	5.27E-01
CRHBP	6	GLB1L2	8	1	1.95E-01	5.33E-01
CRHBP	6	GPR139	9	1	2.17E-01	5.33E-01
CRHBP	6	IFNA6	6	1	1.49E-01	5.27E-01
CRHBP	6	IGFBP2	10	2	2.37E-02	5.27E-01
CRHBP	6	KCNN2	13	2	3.96E-02	5.27E-01
CRHBP	6	KCNQ2	11	1	2.59E-01	5.35E-01
CRHBP	6	KIAA1211	28	2	1.60E-01	5.27E-01
CRHBP	6	LILRB2	14	1	3.19E-01	5.58E-01
CRHBP	6	LPPR4	16	1	3.57E-01	5.71E-01
CRHBP	6	LRFN5	25	1	5.06E-01	6.52E-01
CRHBP	6	LRP1B	87	3	6.77E-01	7.90E-01
CRHBP	6	LRRC7	36	2	2.41E-01	5.33E-01
CRHBP	6	MEOX1	4	1	1.02E-01	5.27E-01
CRHBP	6	MORC1	24	1	4.91E-01	6.41E-01
CRHBP	6	MS4A14	13	1	3.00E-01	5.52E-01
CRHBP	6	NAV3	56	4	3.34E-02	5.27E-01
CRHBP	6	NCBP2	2	1	5.21E-02	5.27E-01
CRHBP	6	NLRP14	19	1	4.10E-01	5.93E-01
CRHBP	6	NOS1	19	1	4.10E-01	5.93E-01
CRHBP	6	OR10K1	7	1	1.72E-01	5.33E-01
CRHBP	6	OR2C3	13	1	3.00E-01	5.52E-01
CRHBP	6	OR2T2	8	1	1.95E-01	5.33E-01
CRHBP	6	OR4K17	12	1	2.80E-01	5.43E-01
CRHBP	6	OR51B5	9	1	2.17E-01	5.33E-01
CRHBP	6	OR52K1	10	1	2.38E-01	5.33E-01
CRHBP	6	OR5J2	10	2	2.37E-02	5.27E-01
CRHBP	6	OR5M1	4	1	1.02E-01	5.27E-01
CRHBP	6	OR5M9	11	1	2.59E-01	5.35E-01
CRHBP	6	OR8B4	12	1	2.80E-01	5.43E-01
CRHBP	6	OR9Q2	8	1	1.95E-01	5.33E-01
CRHBP	6	PEG3	21	1	4.44E-01	6.14E-01
CRHBP	6	PLSCR2	4	1	1.02E-01	5.27E-01
CRHBP	6	PRND	2	1	5.21E-02	5.27E-01
CRHBP	6	RB1	135	6	8.37E-02	5.27E-01
CRHBP	6	REG1B	13	1	3.00E-01	5.52E-01
CRHBP	6	RNGTT	5	1	1.26E-01	5.27E-01
CRHBP	6	SAMD1	15	1	3.38E-01	5.63E-01
CRHBP	6	SGCZ	13	2	3.96E-02	5.27E-01
CRHBP	6	SLC9A4	11	1	2.59E-01	5.35E-01
CRHBP	6	SPHKAP	39	1	1.00E+00	1.00E+00
CRHBP	6	ST6GALNAC3	10	1	2.38E-01	5.33E-01
CRHBP	6	STX11	4	1	1.02E-01	5.27E-01
CRHBP	6	TCF21	4	1	1.02E-01	5.27E-01
CRHBP	6	TGM3	10	1	2.38E-01	5.33E-01
CRHBP	6	TKTL2	21	2	9.68E-02	5.27E-01
CRHBP	6	TMEM132D	50	2	6.15E-01	7.34E-01
CRHBP	6	TMPRSS15	16	1	3.57E-01	5.71E-01
CRHBP	6	TP53	197	6	1.00E+00	1.00E+00
CRHBP	6	UNC93A	8	1	1.95E-01	5.33E-01
CRHBP	6	ZNF521	21	2	9.68E-02	5.27E-01
CRHBP	6	ZNF676	15	1	3.38E-01	5.63E-01
CRHBP	6	ZSCAN10	8	1	1.95E-01	5.33E-01
CYP4F22	8	DCAF8L2	13	1	3.80E-01	5.82E-01
CYP4F22	8	DEFB110	3	1	1.02E-01	5.27E-01
CYP4F22	8	DFNB59	3	2	3.19E-03	4.87E-01
CYP4F22	8	DIO2	8	1	2.52E-01	5.33E-01
CYP4F22	8	ETNK2	4	1	1.34E-01	5.27E-01
CYP4F22	8	F2	4	1	1.34E-01	5.27E-01
CYP4F22	8	FAM47C	19	1	5.07E-01	6.52E-01
CYP4F22	8	FAM69C	7	1	2.24E-01	5.33E-01
CYP4F22	8	FCRL5	17	2	1.12E-01	5.27E-01
CYP4F22	8	GAB4	12	1	3.56E-01	5.71E-01
CYP4F22	8	GABRB1	12	1	3.56E-01	5.71E-01
CYP4F22	8	GABRG1	18	1	4.88E-01	6.38E-01
CYP4F22	8	GPR139	9	1	2.79E-01	5.43E-01
CYP4F22	8	HHEX	4	1	1.34E-01	5.27E-01
CYP4F22	8	HPR	2	1	6.91E-02	5.27E-01
CYP4F22	8	KCNQ2	11	2	5.06E-02	5.27E-01
CYP4F22	8	KIAA1211	28	3	6.11E-02	5.27E-01
CYP4F22	8	KRTAP10-11	7	1	2.24E-01	5.33E-01
CYP4F22	8	KRTAP2-2	5	1	1.65E-01	5.27E-01
CYP4F22	8	LELP1	4	1	1.34E-01	5.27E-01
CYP4F22	8	LILRB2	14	2	7.94E-02	5.27E-01
CYP4F22	8	LPPR4	16	1	4.47E-01	6.14E-01
CYP4F22	8	LRFN5	25	1	1.00E+00	1.00E+00
CYP4F22	8	LRP1B	87	6	5.65E-02	5.27E-01
CYP4F22	8	MARCO	9	1	2.79E-01	5.43E-01
CYP4F22	8	MEOX1	4	1	1.34E-01	5.27E-01
CYP4F22	8	MORC1	24	1	5.95E-01	7.16E-01
CYP4F22	8	MRGPRX4	8	1	2.52E-01	5.33E-01
CYP4F22	8	NLRP14	19	2	1.36E-01	5.27E-01
CYP4F22	8	NOS1	19	1	5.07E-01	6.52E-01
CYP4F22	8	NPY1R	10	1	3.06E-01	5.52E-01
CYP4F22	8	NR1I3	4	1	1.34E-01	5.27E-01
CYP4F22	8	OR10J1	12	1	3.56E-01	5.71E-01
CYP4F22	8	OR10V1	5	1	1.65E-01	5.27E-01
CYP4F22	8	OR2C3	13	2	6.93E-02	5.27E-01
CYP4F22	8	OR2G6	14	1	4.03E-01	5.91E-01
CYP4F22	8	OR2J2	4	1	1.34E-01	5.27E-01
CYP4F22	8	OR4C45	8	1	2.52E-01	5.33E-01
CYP4F22	8	OR4K17	12	1	3.56E-01	5.71E-01
CYP4F22	8	OR4N4	8	1	2.52E-01	5.33E-01
CYP4F22	8	OR5M1	4	1	1.34E-01	5.27E-01
CYP4F22	8	OR5M11	7	1	2.24E-01	5.33E-01
CYP4F22	8	OR6B1	7	1	2.24E-01	5.33E-01
CYP4F22	8	RB1	135	3	2.76E-01	5.43E-01
CYP4F22	8	RHAG	12	2	5.97E-02	5.27E-01
CYP4F22	8	SAMD1	15	1	4.25E-01	6.01E-01
CYP4F22	8	SELP	15	1	4.25E-01	6.01E-01
CYP4F22	8	SLC8A3	20	1	5.26E-01	6.65E-01
CYP4F22	8	SNCB	5	1	1.65E-01	5.27E-01
CYP4F22	8	SPHKAP	39	4	3.08E-02	5.27E-01
CYP4F22	8	TBCA	1	1	3.51E-02	5.27E-01
CYP4F22	8	TCP10L2	7	1	2.24E-01	5.33E-01
CYP4F22	8	TKTL2	21	2	1.61E-01	5.27E-01
CYP4F22	8	TMEM132D	50	2	6.88E-01	7.99E-01
CYP4F22	8	TMEM215	4	1	1.34E-01	5.27E-01
CYP4F22	8	TMPRSS15	16	1	4.47E-01	6.14E-01
CYP4F22	8	TP53	197	6	2.98E-01	5.52E-01
CYP4F22	8	UNC93A	8	1	2.52E-01	5.33E-01
CYP4F22	8	ZCCHC16	8	1	2.52E-01	5.33E-01
CYP4F22	8	ZNF521	21	2	1.61E-01	5.27E-01
CYP4F22	8	ZNF676	15	1	4.25E-01	6.01E-01
DCAF8L2	13	DEFB110	3	1	1.62E-01	5.27E-01
DCAF8L2	13	DUSP22	5	1	2.56E-01	5.33E-01
DCAF8L2	13	DYNLRB2	2	1	1.11E-01	5.27E-01
DCAF8L2	13	ETNK2	4	1	2.11E-01	5.33E-01
DCAF8L2	13	F2	4	1	2.11E-01	5.33E-01
DCAF8L2	13	FAM47C	19	3	8.23E-02	5.27E-01
DCAF8L2	13	FAM83C	11	1	4.84E-01	6.38E-01
DCAF8L2	13	FCRL4	11	1	4.84E-01	6.38E-01
DCAF8L2	13	FGF23	7	1	3.41E-01	5.63E-01
DCAF8L2	13	GAB4	12	3	2.38E-02	5.27E-01
DCAF8L2	13	GABRB1	12	2	1.43E-01	5.27E-01
DCAF8L2	13	GABRG1	18	2	2.73E-01	5.43E-01
DCAF8L2	13	HPR	2	1	1.11E-01	5.27E-01
DCAF8L2	13	IGFBP2	10	1	4.51E-01	6.16E-01
DCAF8L2	13	IL10	6	1	3.00E-01	5.52E-01
DCAF8L2	13	JPH2	10	1	4.51E-01	6.16E-01
DCAF8L2	13	KCNJ12	10	1	4.51E-01	6.16E-01
DCAF8L2	13	KCNN2	13	3	2.98E-02	5.27E-01
DCAF8L2	13	KCNQ2	11	2	1.23E-01	5.27E-01
DCAF8L2	13	KIAA1211	28	2	6.65E-01	7.78E-01
DCAF8L2	13	KLRG1	7	1	3.41E-01	5.63E-01
DCAF8L2	13	LILRB2	14	2	1.85E-01	5.33E-01
DCAF8L2	13	LRFN5	25	3	1.59E-01	5.27E-01
DCAF8L2	13	LRP1B	87	6	5.66E-01	6.95E-01
DCAF8L2	13	LRRC7	36	3	4.37E-01	6.12E-01
DCAF8L2	13	MARCO	9	1	4.16E-01	5.98E-01
DCAF8L2	13	MBLAC1	3	1	1.62E-01	5.27E-01
DCAF8L2	13	MEOX1	4	1	2.11E-01	5.33E-01
DCAF8L2	13	MIA2	11	1	4.84E-01	6.38E-01
